,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,780,0,0,0,1,0,0,0,0,3,0,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,341,0,0,1,0,0,1,1,1,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,8,0,0,1,0,0,0,0
2,0,0,374,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3,0,1,1,510,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,5,0,0,0,2,0,0,0,0,0,0
4,0,0,0,0,512,0,0,1,0,2,0,15,1,16,0,1,0,1,14,4,0,0,0,1,0,0,5,0,0,0,0,0,0,2,0,2,0,2,1,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1
5,0,0,2,1,0,90,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,2,0,0,0,0,0,0
6,0,0,0,0,1,0,47,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
7,0,0,0,0,2,0,0,420,2,2,0,7,0,1,0,2,0,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,1,5,1,0,2,0,0,0,0,0,0,0,0,0
8,0,0,0,0,5,0,0,0,485,3,0,13,2,2,0,4,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,3,4,32,9,1,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0
9,0,0,0,0,1,0,0,0,4,850,0,36,0,0,0,0,0,1,4,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,2,0,1,1,1,2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,2,505,22,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,0,0,0,0,4,0,0,0,0,10,0,841,0,2,1,0,0,0,7,2,0,0,1,3,0,1,1,0,0,0,0,1,0,0,1,1,0,3,1,1,4,2,0,0,0,0,3,1,1,0,0,0,0,0,0,0
12,0,1,0,0,3,0,0,1,2,2,0,33,316,5,0,0,0,0,4,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,1,3,0,2,2,0,1,0,1,1,0,0,0,1,0,0,0,0
13,0,0,0,0,18,0,0,1,0,4,0,12,1,927,1,3,0,1,7,19,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,3,1,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14,0,0,0,0,0,0,0,0,0,0,0,2,0,2,167,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
15,0,0,0,0,3,0,0,0,1,1,0,2,0,5,0,316,0,0,2,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
16,2,0,0,0,1,0,0,0,2,3,0,12,2,0,0,1,354,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
17,0,0,0,0,2,0,0,0,0,4,0,5,0,3,2,0,0,279,2,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,0,0,0,0,4,0,0,1,1,7,0,11,0,9,0,1,0,0,713,2,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,3,0,3,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,0,0,0,0,9,0,0,0,0,2,0,6,0,26,0,4,0,0,2,345,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,1,1,0,1,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
21,0,0,0,0,2,0,0,0,2,3,0,21,0,1,0,0,1,0,2,1,0,372,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0,0,0,3,0,0,2,0,3,1,3,1,3,0,1,0,1,2,0,0,0,271,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2,0,1,3,0,49,0,4,0,0,0,1,0,0,0,1,1,0,0
23,0,1,0,0,3,0,0,1,1,4,0,8,0,0,0,1,0,1,0,0,0,0,0,510,0,0,1,0,0,0,0,0,0,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,1,5,0,11,0,1,0,0,0,0,1,0,0,0,0,0,410,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,2,1,0,0,1,0,0,0
25,0,0,0,0,3,0,1,0,0,3,0,9,1,0,0,2,0,1,1,1,0,0,0,0,0,268,3,0,0,0,0,0,0,0,22,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
26,0,0,0,0,14,0,0,0,1,3,0,23,2,7,0,1,0,0,12,2,0,0,1,1,0,0,866,0,0,0,0,1,0,1,0,0,0,4,1,3,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
27,0,0,0,0,0,0,0,0,0,2,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,2,1,1,0,0,1,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,191,0,0,0,0,0,0,0,1,1,0,0,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,5,0,0,0,1,9,0,7,2,3,0,2,0,0,3,2,0,0,0,0,0,1,8,0,0,0,0,193,2,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,1,0,3,0,4,2,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,284,0,0,1,0,1,0,0,1,2,0,1,0,0,0,1,0,0,0,2,0,0,1
34,0,0,0,0,2,0,0,0,1,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,1,28,1,0,0,0,0,0,0,0,183,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0
35,0,0,0,0,3,0,0,0,0,9,1,2,0,4,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,452,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
36,0,0,0,0,5,0,0,1,5,7,0,12,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,207,26,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
37,0,0,0,0,1,0,0,0,16,9,0,12,1,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,4,9,382,0,1,2,0,1,0,1,0,8,0,0,0,0,0,0,0,1,0
38,0,0,0,0,1,0,0,1,2,7,0,7,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,373,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
39,0,0,0,0,2,0,0,0,1,4,1,16,0,16,1,2,0,0,6,19,0,0,3,0,0,0,10,0,0,0,0,1,0,0,0,1,0,1,4,438,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,0,0,0,0,2,0,0,0,1,8,0,25,0,7,0,0,0,0,4,1,0,0,1,0,0,3,11,0,0,0,0,2,0,0,0,1,0,2,4,3,502,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
41,0,0,7,5,2,0,0,1,2,6,0,17,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,1,0,2,2,0,0,724,0,0,0,2,1,0,0,2,0,0,0,0,0,1
42,0,1,0,0,4,0,0,0,1,1,0,18,2,1,0,2,0,0,5,0,0,0,54,0,0,0,5,0,0,0,0,2,0,0,0,2,0,0,3,1,2,0,402,1,2,2,1,0,1,0,0,0,0,0,0,1
43,0,0,0,0,0,0,1,1,0,1,0,3,1,2,0,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,3,189,0,0,0,0,0,0,0,0,0,0,0,0
44,0,1,0,0,0,0,0,0,0,3,0,8,2,2,0,0,0,0,4,0,0,0,6,0,0,0,4,0,0,0,0,0,0,1,0,1,1,4,7,2,1,0,5,0,253,0,0,0,1,0,0,0,0,0,0,0
45,0,0,0,5,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,1,0,0,380,0,0,0,1,0,0,0,0,0,0
46,0,0,0,1,6,0,1,0,9,8,0,18,1,5,0,0,0,0,4,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,2,4,9,0,1,1,1,1,1,0,0,421,0,2,0,0,1,0,0,0,0
47,0,0,0,0,0,0,0,0,0,1,1,18,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0
48,0,1,0,0,2,0,0,1,0,2,0,25,1,0,0,0,0,0,4,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,7,0,2,0,0,1,0,0,0,0,0,436,0,0,0,0,0,0,1
49,0,1,2,1,1,1,0,0,1,1,1,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,18,1,0,0,3,0,0,0,615,0,0,0,0,0,0
50,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,177,0,0,0,0,0
51,0,0,0,0,0,0,0,1,2,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,1,1,0,1,0,0,0,0,0,0,0,1,152,0,0,0,0
52,0,0,0,0,3,0,0,0,0,2,0,8,0,1,0,0,0,0,2,0,0,0,1,0,0,4,3,0,0,0,0,1,0,0,0,0,0,4,2,1,0,0,0,1,0,0,2,0,0,0,0,0,599,0,0,0
53,0,0,0,0,1,0,0,1,1,3,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0
54,0,0,0,0,0,0,6,0,0,2,0,5,0,4,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0
55,0,0,1,0,1,0,0,0,0,1,0,13,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,301
